rank,start_date,end_date,duration_days,peak_date,peak_k0001,peak_k001,peak_k01,peak_omega,components_json
379,0435-04-16T12:00:00Z,0435-04-21T12:00:00Z,6,0435-04-17T12:00:00Z,0,1,2,1.9151333570480347,"[{""component_p"":0.0004784714838024229,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]},{""component_p"":0.002541034948080778,""best_module_id"":""m063"",""best_module_label"":""May 22 Mercury\u2013Pluto\u2013Neptune triad"",""families"":[""f15_1918_spring""],""module_ids"":[""m059"",""m063""],""bodies"":[""Mercury"",""Pluto"",""Neptune""]}]"
380,1539-04-13T12:00:00Z,1539-04-14T12:00:00Z,2,1539-04-13T12:00:00Z,0,1,2,1.9114165306091309,"[{""component_p"":0.0006555329891853034,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.0018706342671066523,""best_module_id"":""m037"",""best_module_label"":""Mercury\u2013Neptune\u2013Mars midpoint"",""families"":[""f09_1914_jun28"",""f10_1978_dec11""],""module_ids"":[""m030"",""m037""],""bodies"":[""Mercury"",""Neptune"",""Mars""]}]"
381,1079-10-09T12:00:00Z,1079-10-13T12:00:00Z,5,1079-10-13T12:00:00Z,0,1,2,1.9107829332351685,"[{""component_p"":0.00016489694826304913,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.007447395008057356,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]}]"
382,1619-12-06T12:00:00Z,1619-12-13T12:00:00Z,8,1619-12-11T12:00:00Z,0,1,2,1.9064271450042725,"[{""component_p"":0.00014597435074392706,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17"",""f11_1913_dec23""],""module_ids"":[""m005"",""m039""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.008497599512338638,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07""],""module_ids"":[""m010""],""bodies"":[""Venus"",""Mars"",""Pluto""]}]"
383,1146-06-14T12:00:00Z,1146-06-27T12:00:00Z,14,1146-06-21T12:00:00Z,0,1,2,1.9001129865646362,"[{""component_p"":0.00025004864437505603,""best_module_id"":""m043"",""best_module_label"":""Uranus opposite Mercury/Venus gate"",""families"":[""f12_1929_oct24""],""module_ids"":[""m043""],""bodies"":[""Uranus"",""Mercury"",""Venus""]},{""component_p"":0.005033412016928196,""best_module_id"":""m068"",""best_module_label"":""Mars\u2013Jupiter\u2013Pluto\u2013Saturn symmetric compression"",""families"":[""f16_2020_mar11""],""module_ids"":[""m068""],""bodies"":[""Mars"",""Jupiter"",""Pluto"",""Saturn""]}]"
384,0098-04-16T12:00:00Z,0098-04-18T12:00:00Z,3,0098-04-17T12:00:00Z,0,1,2,1.8992162942886353,"[{""component_p"":0.0002892454795073718,""best_module_id"":""m060"",""best_module_label"":""Apr 5 Venus\u2013Uranus double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m060""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.004360307939350605,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17"",""f08_1775_apr19""],""module_ids"":[""m005"",""m027""],""bodies"":[""Mercury"",""Saturn""]}]"
385,0452-03-19T12:00:00Z,0452-03-23T12:00:00Z,5,0452-03-21T12:00:00Z,0,1,2,1.8986058235168457,"[{""component_p"":0.0005474038189277053,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.002307205693796277,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07""],""module_ids"":[""m010""],""bodies"":[""Venus"",""Mars"",""Pluto""]}]"
386,2015-05-01T12:00:00Z,2015-05-03T12:00:00Z,3,2015-05-02T12:00:00Z,0,1,2,1.896209716796875,"[{""component_p"":0.00048658117884770036,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.00260996725410223,""best_module_id"":""m066"",""best_module_label"":""May 28 Venus equidistant Jupiter/Uranus"",""families"":[""f15_1918_spring""],""module_ids"":[""m066""],""bodies"":[""Venus"",""Jupiter"",""Uranus""]}]"
387,0953-12-26T12:00:00Z,0954-01-09T12:00:00Z,15,0953-12-30T12:00:00Z,0,1,2,1.895006775856018,"[{""component_p"":0.0001730066433083266,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.007360891904681921,""best_module_id"":""m036"",""best_module_label"":""Pluto\u2013Uranus\u2013Neptune midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m036""],""bodies"":[""Pluto"",""Uranus"",""Neptune""]}]"
388,0054-08-17T12:00:00Z,0054-09-10T12:00:00Z,25,0054-08-27T12:00:00Z,0,1,2,1.8931243419647217,"[{""component_p"":0.0006649942952208221,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07""],""module_ids"":[""m010""],""bodies"":[""Venus"",""Mars"",""Pluto""]},{""component_p"":0.0019233472412452102,""best_module_id"":""m027"",""best_module_label"":""Mercury\u2013Uranus\u2013Saturn 60+120=180"",""families"":[""f08_1775_apr19""],""module_ids"":[""m027""],""bodies"":[""Mercury"",""Uranus"",""Saturn""]}]"
389,0900-06-08T12:00:00Z,0900-06-10T12:00:00Z,3,0900-06-09T12:00:00Z,0,1,2,1.8922561407089233,"[{""component_p"":0.000266268034465611,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.004813098814338446,""best_module_id"":""m044"",""best_module_label"":""Uranus\u2013Mercury/Venus\u2013Mars routing module"",""families"":[""f12_1929_oct24""],""module_ids"":[""m044""],""bodies"":[""Uranus"",""Mercury"",""Venus"",""Mars""]}]"
390,1015-03-03T12:00:00Z,1015-03-16T12:00:00Z,14,1015-03-07T12:00:00Z,0,1,2,1.89066743850708,"[{""component_p"":0.0001716550177661702,""best_module_id"":""m064"",""best_module_label"":""May 22 Venus\u2013Jupiter\u2013Mars triad"",""families"":[""f15_1918_spring""],""module_ids"":[""m064""],""bodies"":[""Venus"",""Jupiter"",""Mars""]},{""component_p"":0.007493350189179182,""best_module_id"":""m026"",""best_module_label"":""Pluto\u2013Mercury\u2013Uranus 60+60=120"",""families"":[""f08_1775_apr19""],""module_ids"":[""m026""],""bodies"":[""Pluto"",""Mercury"",""Uranus""]}]"
391,0841-06-05T12:00:00Z,0841-06-07T12:00:00Z,3,0841-06-06T12:00:00Z,0,1,2,1.887294888496399,"[{""component_p"":0.0003473648976068944,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.003731807228177786,""best_module_id"":""m066"",""best_module_label"":""May 28 Venus equidistant Jupiter/Uranus"",""families"":[""f15_1918_spring""],""module_ids"":[""m066""],""bodies"":[""Venus"",""Jupiter"",""Uranus""]}]"
392,1031-04-18T12:00:00Z,1031-05-08T12:00:00Z,21,1031-04-26T12:00:00Z,0,1,2,1.8839513063430786,"[{""component_p"":0.0005176683189347386,""best_module_id"":""m056"",""best_module_label"":""Pluto\u2013Neptune\u2013Saturn 52.5+97.5=150 closure"",""families"":[""f14_2000_mar10""],""module_ids"":[""m056""],""bodies"":[""Pluto"",""Neptune"",""Saturn""]},{""component_p"":0.0025234639178961515,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]}]"
393,0693-01-18T12:00:00Z,0693-01-25T12:00:00Z,8,0693-01-25T12:00:00Z,0,1,2,1.880811095237732,"[{""component_p"":0.00016895179578568786,""best_module_id"":""m069"",""best_module_label"":""Saturn\u2013Mercury\u2013Neptune 30/20/50 rail"",""families"":[""f16_2020_mar11""],""module_ids"":[""m069""],""bodies"":[""Saturn"",""Mercury"",""Neptune""]},{""component_p"":0.007788002025336027,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
394,0722-07-30T12:00:00Z,0722-08-13T12:00:00Z,15,0722-08-06T12:00:00Z,0,1,2,1.879309892654419,"[{""component_p"":0.0002581583394203335,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.005114508792757988,""best_module_id"":""m064"",""best_module_label"":""May 22 Venus\u2013Jupiter\u2013Mars triad"",""families"":[""f15_1918_spring""],""module_ids"":[""m064""],""bodies"":[""Venus"",""Jupiter"",""Mars""]}]"
395,0841-05-21T12:00:00Z,0841-05-21T12:00:00Z,1,0841-05-21T12:00:00Z,0,1,2,1.8778870105743408,"[{""component_p"":0.00035952942562289536,""best_module_id"":""m008"",""best_module_label"":""Mercury\u2013Venus double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m008""],""bodies"":[""Mercury"",""Venus""]},{""component_p"":0.0036845006980001926,""best_module_id"":""m066"",""best_module_label"":""May 28 Venus equidistant Jupiter/Uranus"",""families"":[""f15_1918_spring""],""module_ids"":[""m066""],""bodies"":[""Venus"",""Jupiter"",""Uranus""]}]"
396,0053-01-28T12:00:00Z,0053-02-27T12:00:00Z,31,0053-02-23T12:00:00Z,0,1,2,1.8776168823242188,"[{""component_p"":0.0001446227397536859,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]},{""component_p"":0.009165297262370586,""best_module_id"":""m068"",""best_module_label"":""Mars\u2013Jupiter\u2013Pluto\u2013Saturn symmetric compression"",""families"":[""f16_2020_mar11""],""module_ids"":[""m068""],""bodies"":[""Mars"",""Jupiter"",""Pluto"",""Saturn""]}]"
397,1458-06-06T12:00:00Z,1458-06-14T12:00:00Z,9,1458-06-06T12:00:00Z,0,1,2,1.8772752285003662,"[{""component_p"":0.00013786467025056481,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.009622142650187016,""best_module_id"":""m027"",""best_module_label"":""Mercury\u2013Uranus\u2013Saturn 60+120=180"",""families"":[""f08_1775_apr19""],""module_ids"":[""m027""],""bodies"":[""Mercury"",""Uranus"",""Saturn""]}]"
398,0484-05-26T12:00:00Z,0484-05-28T12:00:00Z,3,0484-05-27T12:00:00Z,0,1,2,1.8762680292129517,"[{""component_p"":0.0009569429676048458,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.0013894595904275775,""best_module_id"":""m013"",""best_module_label"":""Joined six-body circuit"",""families"":[""f04_2023_oct07"",""f06_2025_sep10""],""module_ids"":[""m013"",""m018""],""bodies"":[""Venus"",""Mars"",""Pluto"",""Saturn"",""Neptune"",""Uranus""]}]"
399,1992-11-28T12:00:00Z,1992-11-30T12:00:00Z,3,1992-11-29T12:00:00Z,0,1,2,1.8754703998565674,"[{""component_p"":0.0005109102348797023,""best_module_id"":""m060"",""best_module_label"":""Apr 5 Venus\u2013Uranus double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m060""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.0026072640903294086,""best_module_id"":""m016"",""best_module_label"":""Mars\u2013Pluto\u2013Neptune 120+60 partition"",""families"":[""f05_2021_sep11""],""module_ids"":[""m016""],""bodies"":[""Mars"",""Pluto"",""Neptune""]}]"
400,0361-02-17T12:00:00Z,0361-02-19T12:00:00Z,3,0361-02-18T12:00:00Z,0,1,2,1.8705558776855469,"[{""component_p"":0.0004595488717313856,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.002931651659309864,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]}]"
401,1233-04-07T12:00:00Z,1233-04-19T12:00:00Z,13,1233-04-18T12:00:00Z,0,1,2,1.8705288171768188,"[{""component_p"":0.0002081486163660884,""best_module_id"":""m008"",""best_module_label"":""Mercury\u2013Venus double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m008""],""bodies"":[""Mercury"",""Venus""]},{""component_p"":0.00647288141772151,""best_module_id"":""m069"",""best_module_label"":""Saturn\u2013Mercury\u2013Neptune 30/20/50 rail"",""families"":[""f16_2020_mar11""],""module_ids"":[""m069""],""bodies"":[""Saturn"",""Mercury"",""Neptune""]}]"
402,0081-04-24T12:00:00Z,0081-04-26T12:00:00Z,3,0081-04-25T12:00:00Z,0,1,2,1.870190978050232,"[{""component_p"":0.0007569040171802044,""best_module_id"":""m060"",""best_module_label"":""Apr 5 Venus\u2013Uranus double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m060"",""m062""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.0017814277671277523,""best_module_id"":""m048"",""best_module_label"":""Pluto\u2013Saturn\u2013Mars midpoint"",""families"":[""f13_1947_nov29""],""module_ids"":[""m048""],""bodies"":[""Pluto"",""Saturn"",""Mars""]}]"
403,0062-12-10T12:00:00Z,0062-12-13T12:00:00Z,4,0062-12-11T12:00:00Z,0,1,2,1.8692541122436523,"[{""component_p"":0.0007055426831357181,""best_module_id"":""m060"",""best_module_label"":""Apr 5 Venus\u2013Uranus double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m060""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.0019152375170961022,""best_module_id"":""m028"",""best_module_label"":""Venus/Jupiter to Neptune/Mars fork"",""families"":[""f08_1775_apr19""],""module_ids"":[""m028""],""bodies"":[""Venus"",""Jupiter"",""Neptune"",""Mars""]}]"
404,0333-10-10T12:00:00Z,0333-11-02T12:00:00Z,24,0333-10-22T12:00:00Z,0,1,2,1.8612226247787476,"[{""component_p"":0.00018652278231456876,""best_module_id"":""m069"",""best_module_label"":""Saturn\u2013Mercury\u2013Neptune 30/20/50 rail"",""families"":[""f16_2020_mar11""],""module_ids"":[""m069""],""bodies"":[""Saturn"",""Mercury"",""Neptune""]},{""component_p"":0.007379814516752958,""best_module_id"":""m049"",""best_module_label"":""Mars\u2013Venus\u2013Uranus 60/120/180 gate"",""families"":[""f13_1947_nov29""],""module_ids"":[""m049""],""bodies"":[""Mars"",""Venus"",""Uranus""]}]"
405,1451-03-31T12:00:00Z,1451-03-31T12:00:00Z,1,1451-03-31T12:00:00Z,0,1,2,1.8606725931167603,"[{""component_p"":0.00029059709049761295,""best_module_id"":""m008"",""best_module_label"":""Mercury\u2013Venus double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m008""],""bodies"":[""Mercury"",""Venus""]},{""component_p"":0.004742814693599939,""best_module_id"":""m061"",""best_module_label"":""Apr 5 Saturn\u2013Neptune double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m061""],""bodies"":[""Saturn"",""Neptune""]}]"
406,0641-09-22T12:00:00Z,0641-09-23T12:00:00Z,2,0641-09-23T12:00:00Z,0,1,2,1.8601726293563843,"[{""component_p"":0.0001784131018212065,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17"",""f08_1775_apr19""],""module_ids"":[""m005"",""m027""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.007733937352895737,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
407,0872-02-18T12:00:00Z,0872-03-02T12:00:00Z,14,0872-02-22T12:00:00Z,0,1,2,1.8601266145706177,"[{""component_p"":0.0004433295107446611,""best_module_id"":""m069"",""best_module_label"":""Saturn\u2013Mercury\u2013Neptune 30/20/50 rail"",""families"":[""f16_2020_mar11""],""module_ids"":[""m069""],""bodies"":[""Saturn"",""Mercury"",""Neptune""]},{""component_p"":0.0031127678230404854,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
408,1538-02-23T12:00:00Z,1538-02-24T12:00:00Z,2,1538-02-24T12:00:00Z,0,1,2,1.8565058708190918,"[{""component_p"":0.000516316678840667,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.002695119008421898,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]}]"
409,0473-01-01T12:00:00Z,0473-01-03T12:00:00Z,3,0473-01-02T12:00:00Z,0,1,2,1.8511217832565308,"[{""component_p"":0.0008474621863570064,""best_module_id"":""m070"",""best_module_label"":""Neptune\u2013Uranus/Venus double-node bridge"",""families"":[""f05_2021_sep11"",""f16_2020_mar11""],""module_ids"":[""m014"",""m015"",""m070""],""bodies"":[""Neptune"",""Uranus"",""Venus""]},{""component_p"":0.0016624856507405639,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]}]"
410,1442-11-02T12:00:00Z,1442-11-04T12:00:00Z,3,1442-11-03T12:00:00Z,0,1,2,1.8505641222000122,"[{""component_p"":0.0005933587090112269,""best_module_id"":""m035"",""best_module_label"":""Jupiter\u2013Saturn\u2013Pluto midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m035""],""bodies"":[""Jupiter"",""Saturn"",""Pluto""]},{""component_p"":0.0023774895817041397,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]}]"
411,0836-04-25T12:00:00Z,0836-04-26T12:00:00Z,2,0836-04-25T12:00:00Z,0,1,2,1.8476135730743408,"[{""component_p"":0.0005987651529721916,""best_module_id"":""m017"",""best_module_label"":""Jupiter\u2013Venus\u2013Mercury\u2013Mars 0/30/60/90 ladder"",""families"":[""f06_2025_sep10""],""module_ids"":[""m017""],""bodies"":[""Jupiter"",""Venus"",""Mercury"",""Mars""]},{""component_p"":0.002372083254158497,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]}]"
412,0445-03-01T12:00:00Z,0445-03-14T12:00:00Z,14,0445-03-07T12:00:00Z,0,1,2,1.844163417816162,"[{""component_p"":0.000266268034465611,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.005376721732318401,""best_module_id"":""m028"",""best_module_label"":""Venus/Jupiter to Neptune/Mars fork"",""families"":[""f08_1775_apr19""],""module_ids"":[""m028""],""bodies"":[""Venus"",""Jupiter"",""Neptune"",""Mars""]}]"
413,1217-04-22T12:00:00Z,1217-04-23T12:00:00Z,2,1217-04-23T12:00:00Z,0,1,2,1.8395609855651855,"[{""component_p"":0.0008988235495053232,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.001609772676602006,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
414,0577-05-08T12:00:00Z,0577-05-12T12:00:00Z,5,0577-05-10T12:00:00Z,0,1,2,1.8386987447738647,"[{""component_p"":0.00046901017776690423,""best_module_id"":""m008"",""best_module_label"":""Mercury\u2013Venus double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m008""],""bodies"":[""Mercury"",""Venus""]},{""component_p"":0.0030911420471966267,""best_module_id"":""m067"",""best_module_label"":""May 28 Mars/Jupiter plus Venus/Jupiter/Uranus"",""families"":[""f15_1918_spring""],""module_ids"":[""m067""],""bodies"":[""Mars"",""Jupiter"",""Venus"",""Uranus""]}]"
415,0188-04-23T12:00:00Z,0188-05-14T12:00:00Z,22,0188-05-05T12:00:00Z,0,1,2,1.8351951837539673,"[{""component_p"":0.0001770614762790501,""best_module_id"":""m027"",""best_module_label"":""Mercury\u2013Uranus\u2013Saturn 60+120=180"",""families"":[""f08_1775_apr19""],""module_ids"":[""m027""],""bodies"":[""Mercury"",""Uranus"",""Saturn""]},{""component_p"":0.008254309184849262,""best_module_id"":""m040"",""best_module_label"":""Mars/Neptune opposite Jupiter/Uranus bundle"",""families"":[""f11_1913_dec23""],""module_ids"":[""m040""],""bodies"":[""Mars"",""Neptune"",""Jupiter"",""Uranus""]}]"
416,1802-08-21T12:00:00Z,1802-08-23T12:00:00Z,3,1802-08-22T12:00:00Z,0,1,2,1.835140347480774,"[{""component_p"":0.00026761964545585215,""best_module_id"":""m060"",""best_module_label"":""Apr 5 Venus\u2013Uranus double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m060""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.005461873486638069,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
417,1128-03-24T12:00:00Z,1128-03-24T12:00:00Z,1,1128-03-24T12:00:00Z,0,1,2,1.8344135284423828,"[{""component_p"":0.00017976471281144768,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.008144828490912914,""best_module_id"":""m061"",""best_module_label"":""Apr 5 Saturn\u2013Neptune double node"",""families"":[""f03_2026_feb28"",""f15_1918_spring""],""module_ids"":[""m009"",""m061""],""bodies"":[""Saturn"",""Neptune""]}]"
418,1882-03-02T12:00:00Z,1882-03-04T12:00:00Z,3,1882-03-03T12:00:00Z,0,1,2,1.8339998722076416,"[{""component_p"":0.0005703812348656356,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.002569418866187334,""best_module_id"":""m065"",""best_module_label"":""May 22 dual-triad six-body assembly"",""families"":[""f15_1918_spring""],""module_ids"":[""m065""],""bodies"":[""Mercury"",""Pluto"",""Neptune"",""Venus"",""Jupiter"",""Mars""]}]"
419,0988-02-05T12:00:00Z,0988-02-24T12:00:00Z,20,0988-02-10T12:00:00Z,0,1,2,1.8307561874389648,"[{""component_p"":0.0002122034493368119,""best_module_id"":""m070"",""best_module_label"":""Neptune\u2013Uranus/Venus double-node bridge"",""families"":[""f16_2020_mar11""],""module_ids"":[""m070""],""bodies"":[""Neptune"",""Uranus"",""Venus""]},{""component_p"":0.006958110723644495,""best_module_id"":""m017"",""best_module_label"":""Jupiter\u2013Venus\u2013Mercury\u2013Mars 0/30/60/90 ladder"",""families"":[""f06_2025_sep10""],""module_ids"":[""m017""],""bodies"":[""Jupiter"",""Venus"",""Mercury"",""Mars""]}]"
420,0406-04-18T12:00:00Z,0406-04-18T12:00:00Z,1,0406-04-18T12:00:00Z,0,1,2,1.8303921222686768,"[{""component_p"":0.00025140028446912766,""best_module_id"":""m008"",""best_module_label"":""Mercury\u2013Venus double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m008""],""bodies"":[""Mercury"",""Venus""]},{""component_p"":0.00587817095220089,""best_module_id"":""m069"",""best_module_label"":""Saturn\u2013Mercury\u2013Neptune 30/20/50 rail"",""families"":[""f16_2020_mar11""],""module_ids"":[""m069""],""bodies"":[""Saturn"",""Mercury"",""Neptune""]}]"
421,0748-08-24T12:00:00Z,0748-08-26T12:00:00Z,3,0748-08-25T12:00:00Z,0,1,2,1.8294341564178467,"[{""component_p"":0.0007433879072777927,""best_module_id"":""m068"",""best_module_label"":""Mars\u2013Jupiter\u2013Pluto\u2013Saturn symmetric compression"",""families"":[""f14_2000_mar10"",""f16_2020_mar11""],""module_ids"":[""m055"",""m068""],""bodies"":[""Mars"",""Jupiter"",""Pluto"",""Saturn""]},{""component_p"":0.001992279663681984,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]}]"
422,1256-10-09T12:00:00Z,1256-10-11T12:00:00Z,3,1256-10-10T12:00:00Z,0,1,2,1.8282999992370605,"[{""component_p"":0.0004663069557864219,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.0031844035256654024,""best_module_id"":""m017"",""best_module_label"":""Jupiter\u2013Venus\u2013Mercury\u2013Mars 0/30/60/90 ladder"",""families"":[""f06_2025_sep10""],""module_ids"":[""m017""],""bodies"":[""Jupiter"",""Venus"",""Mercury"",""Mars""]}]"
