rank,start_date,end_date,duration_days,peak_date,peak_k0001,peak_k001,peak_k01,peak_omega,components_json
11,1158-01-30T12:00:00Z,1158-02-01T12:00:00Z,3,1158-01-31T12:00:00Z,1,2,2,3.6765403747558594,"[{""component_p"":5.947103272774257e-05,""best_module_id"":""m008"",""best_module_label"":""Mercury\u2013Venus double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m008""],""bodies"":[""Mercury"",""Venus""]},{""component_p"":0.0003541229525581002,""best_module_id"":""m064"",""best_module_label"":""May 22 Venus\u2013Jupiter\u2013Mars triad"",""families"":[""f15_1918_spring""],""module_ids"":[""m064"",""m067""],""bodies"":[""Venus"",""Jupiter"",""Mars""]}]"
12,1216-02-08T12:00:00Z,1216-02-12T12:00:00Z,5,1216-02-10T12:00:00Z,1,2,2,3.6658973693847656,"[{""component_p"":8.920655091060326e-05,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]},{""component_p"":0.000241938978433609,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]}]"
13,0355-12-30T12:00:00Z,0356-01-01T12:00:00Z,3,0355-12-31T12:00:00Z,1,2,2,3.6556527614593506,"[{""component_p"":3.784520231420174e-05,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.0005838974029757082,""best_module_id"":""m037"",""best_module_label"":""Mercury\u2013Neptune\u2013Mars midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m037""],""bodies"":[""Mercury"",""Neptune"",""Mars""]}]"
14,0232-03-22T12:00:00Z,0232-04-07T12:00:00Z,17,0232-03-30T12:00:00Z,1,2,2,3.5973780155181885,"[{""component_p"":7.163556438172236e-05,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]},{""component_p"":0.00035277134156785905,""best_module_id"":""m037"",""best_module_label"":""Mercury\u2013Neptune\u2013Mars midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m037""],""bodies"":[""Mercury"",""Neptune"",""Mars""]}]"
15,0805-02-27T12:00:00Z,0805-04-20T12:00:00Z,53,0805-03-15T12:00:00Z,1,2,2,3.5853946208953857,"[{""component_p"":2.703228710743133e-05,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]},{""component_p"":0.0009609978296793997,""best_module_id"":""m049"",""best_module_label"":""Mars\u2013Venus\u2013Uranus 60/120/180 gate"",""families"":[""f13_1947_nov29""],""module_ids"":[""m049""],""bodies"":[""Mars"",""Venus"",""Uranus""]}]"
16,0683-04-08T12:00:00Z,0683-04-24T12:00:00Z,17,0683-04-15T12:00:00Z,1,2,2,3.508049964904785,"[{""component_p"":4.325166082708165e-05,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.0007177072111517191,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
17,0081-04-28T12:00:00Z,0081-05-20T12:00:00Z,23,0081-05-12T12:00:00Z,1,2,2,3.377852439880371,"[{""component_p"":6.622910586884245e-05,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]},{""component_p"":0.0006325555150397122,""best_module_id"":""m048"",""best_module_label"":""Pluto\u2013Saturn\u2013Mars midpoint"",""families"":[""f13_1947_nov29""],""module_ids"":[""m048""],""bodies"":[""Pluto"",""Saturn"",""Mars""]}]"
18,0010-10-25T12:00:00Z,0010-11-02T12:00:00Z,9,0010-10-28T12:00:00Z,1,2,2,3.264573812484741,"[{""component_p"":8.920655091060326e-05,""best_module_id"":""m043"",""best_module_label"":""Uranus opposite Mercury/Venus gate"",""families"":[""f09_1914_jun28"",""f12_1929_oct24""],""module_ids"":[""m031"",""m043""],""bodies"":[""Uranus"",""Mercury"",""Venus""]},{""component_p"":0.0006095780991017818,""best_module_id"":""m069"",""best_module_label"":""Saturn\u2013Mercury\u2013Neptune 30/20/50 rail"",""families"":[""f16_2020_mar11""],""module_ids"":[""m069""],""bodies"":[""Saturn"",""Mercury"",""Neptune""]}]"
19,0113-04-24T12:00:00Z,0113-05-20T12:00:00Z,27,0113-05-04T12:00:00Z,1,2,2,3.2330901622772217,"[{""component_p"":8.515170338796452e-05,""best_module_id"":""m068"",""best_module_label"":""Mars\u2013Jupiter\u2013Pluto\u2013Saturn symmetric compression"",""families"":[""f16_2020_mar11""],""module_ids"":[""m068""],""bodies"":[""Mars"",""Jupiter"",""Pluto"",""Saturn""]},{""component_p"":0.0006866200710646808,""best_module_id"":""m026"",""best_module_label"":""Pluto\u2013Mercury\u2013Uranus 60+60=120"",""families"":[""f08_1775_apr19""],""module_ids"":[""m026""],""bodies"":[""Pluto"",""Mercury"",""Uranus""]}]"
20,1180-02-06T12:00:00Z,1180-02-18T12:00:00Z,13,1180-02-12T12:00:00Z,1,2,2,3.230600357055664,"[{""component_p"":7.028394611552358e-05,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.0008366492693312466,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07""],""module_ids"":[""m010""],""bodies"":[""Venus"",""Mars"",""Pluto""]}]"
